latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
28.973,78.86474,327.9,0.53,0.42,2025-02-24,731,N,VIIRS,n,2,299.51,2.76,D,0
29.00385,79.50795,329.95,0.49,0.4,2025-02-24,731,N,VIIRS,n,2,297.78,4.77,D,0
29.10034,76.68489,330.02,0.46,0.47,2025-02-24,731,N,VIIRS,n,2,295.74,3.79,D,0
29.1423,79.47789,342.88,0.49,0.4,2025-02-24,731,N,VIIRS,n,2,303.56,5.43,D,0
29.18611,76.79022,341.47,0.45,0.47,2025-02-24,731,N,VIIRS,n,2,295.31,4.92,D,0
29.29078,77.72047,326.19,0.4,0.44,2025-02-24,731,N,VIIRS,n,2,297.02,1.19,D,0
29.33944,78.78803,333.12,0.53,0.42,2025-02-24,731,N,VIIRS,n,2,298.53,5.97,D,0
29.48539,77.59899,334.61,0.4,0.44,2025-02-24,731,N,VIIRS,n,2,295.83,3.69,D,0
29.51259,79.44199,328.11,0.49,0.4,2025-02-24,731,N,VIIRS,n,2,302.74,3.57,D,0
29.53308,78.44898,328.47,0.54,0.42,2025-02-24,731,N,VIIRS,l,2,299.99,3.67,D,0
29.58681,77.8568,333.5,0.39,0.44,2025-02-24,731,N,VIIRS,n,2,299.76,2.7,D,0
29.70635,77.52486,349.21,0.4,0.44,2025-02-24,731,N,VIIRS,n,2,292.95,5.81,D,0
29.7093,77.5245,341.0,0.4,0.44,2025-02-24,731,N,VIIRS,n,2,292.43,5.36,D,0
29.71816,77.40029,333.12,0.41,0.45,2025-02-24,731,N,VIIRS,n,2,288.34,2.92,D,0
29.74506,79.342,336.83,0.49,0.4,2025-02-24,731,N,VIIRS,n,2,302.18,5.13,D,0
29.80627,79.23695,326.18,0.49,0.41,2025-02-24,731,N,VIIRS,n,2,298.81,2.02,D,0
29.85994,77.79477,329.65,0.39,0.44,2025-02-24,731,N,VIIRS,n,2,290.55,6.28,D,0
29.86072,77.79873,340.44,0.39,0.44,2025-02-24,731,N,VIIRS,n,2,290.88,6.28,D,0
29.86412,78.04851,327.02,0.56,0.43,2025-02-24,731,N,VIIRS,n,2,299.19,3.47,D,0
30.64431,78.65182,342.03,0.51,0.41,2025-02-24,731,N,VIIRS,n,2,296.48,7.99,D,0
30.73866,76.32981,340.02,0.45,0.47,2025-02-24,731,N,VIIRS,n,2,297.55,8.87,D,0
29.76419,78.509,299.84,0.6,0.53,2025-02-24,1955,N,VIIRS,n,2,284.7,0.7,N,0
29.76475,78.50267,299.22,0.6,0.53,2025-02-24,1955,N,VIIRS,n,2,285.1,1.33,N,0
26.64099,79.47529,300.39,0.49,0.48,2025-02-24,1956,N,VIIRS,n,2,284.3,0.74,N,2
28.28859,78.42757,307.23,0.59,0.53,2025-02-24,1956,N,VIIRS,n,2,287.7,2.6,N,0
